decade,PrimaryCaretaker,NumTrees,MaxTrees,MinTrees
1970 - 1979,Others,1,155,0
1970 - 1979,Directorate of Public Works,0,,
1970 - 1979,Private,155,,
1980 - 1989,Directorate of Public Works,19,472,9
1980 - 1989,Others,9,,
1980 - 1989,Private,472,,
1990 - 1999,Directorate of Public Works,569,1672,129
1990 - 1999,Others,129,,
1990 - 1999,Private,1672,,
2000 - 2009,Directorate of Public Works,1321,1764,156
2000 - 2009,Others,156,,
2000 - 2009,Private,1764,,
2010 - 2019,Directorate of Public Works,635,1806,71
2010 - 2019,Others,71,,
2010 - 2019,Private,1806,,
2020 - 2029,Directorate of Public Works,59,350,4
2020 - 2029,Others,4,,
2020 - 2029,Private,350,,
